team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,player_key
Zeke Virus,7,Justin Herbert,QB,LAC,QB,41.48,399.p.32676
Zeke Virus,7,Odell Beckham Jr.,WR,Cle,WR,0.0,399.p.27540
Zeke Virus,7,Tyler Lockett,WR,Sea,WR,53.0,399.p.28457
Zeke Virus,7,Todd Gurley II,RB,Atl,RB,22.2,399.p.28398
Zeke Virus,7,Ezekiel Elliott,RB,Dal,RB,6.1,399.p.29238
Zeke Virus,7,Jonnu Smith,TE,Ten,TE,1.9,399.p.30213
Zeke Virus,7,Mike Williams,WR,LAC,W/R/T,1.4,399.p.30120
Zeke Virus,7,Brandin Cooks,WR,Hou,W/R/T,13.0,399.p.27548
Zeke Virus,7,Cooper Kupp,WR,LAR,BN,11.9,399.p.30182
Zeke Virus,7,Evan Engram,TE,NYG,BN,10.9,399.p.30136
Zeke Virus,7,Matt Ryan,QB,Atl,BN,18.52,399.p.8780
Zeke Virus,7,Myles Gaskin,RB,Mia,BN,0.0,399.p.32066
Zeke Virus,7,Leonard Fournette,RB,TB,BN,15.7,399.p.30117
Zeke Virus,7,Corey Davis,WR,Ten,BN,15.5,399.p.30118
Zeke Virus,7,Devonta Freeman,RB,NYG,BN,0.8,399.p.27631
Zeke Virus,7,Harrison Butker,K,KC,K,14.0,399.p.30346
Zeke Virus,7,Tampa Bay,DEF,TB,DEF,6.0,399.p.100027
Zeke Virus,7,Chicago,DEF,Chi,BN,11.0,399.p.100003
3HeadedATK,7,Tom Brady,QB,TB,QB,40.86,399.p.5228
3HeadedATK,7,JuJu Smith-Schuster,WR,Pit,WR,17.5,399.p.30175
3HeadedATK,7,Kenny Golladay,WR,Det,WR,17.4,399.p.30209
3HeadedATK,7,James Robinson,RB,Jax,RB,31.7,399.p.33138
3HeadedATK,7,James Conner,RB,Pit,RB,14.1,399.p.30218
3HeadedATK,7,Noah Fant,TE,Den,TE,6.8,399.p.31852
3HeadedATK,7,Julio Jones,WR,Atl,W/R/T,17.7,399.p.24793
3HeadedATK,7,Tyler Boyd,WR,Cin,W/R/T,27.74,399.p.29288
3HeadedATK,7,Jonathan Taylor,RB,Ind,BN,0.0,399.p.32711
3HeadedATK,7,Darren Waller,TE,LV,BN,17.0,399.p.28592
3HeadedATK,7,Nick Chubb,RB,Cle,BN,0.0,399.p.31005
3HeadedATK,7,Marquise Brown,WR,Bal,BN,0.0,399.p.31857
3HeadedATK,7,Zack Moss,RB,Buf,BN,10.2,399.p.32756
3HeadedATK,7,Carson Wentz,QB,Phi,BN,30.76,399.p.29236
3HeadedATK,7,Daniel Jones,QB,NYG,BN,23.68,399.p.31838
3HeadedATK,7,Robbie Gould,K,SF,K,10.0,399.p.7520
3HeadedATK,7,Kansas City,DEF,KC,DEF,24.0,399.p.100012
3HeadedATK,7,Denver,DEF,Den,BN,2.0,399.p.100007
Big Bucs No Whammies,7,Kyler Murray,QB,Ari,QB,41.1,399.p.31833
Big Bucs No Whammies,7,Stefon Diggs,WR,Buf,WR,10.8,399.p.28534
Big Bucs No Whammies,7,Christian Kirk,WR,Ari,WR,20.7,399.p.31017
Big Bucs No Whammies,7,Derrick Henry,RB,Ten,RB,15.2,399.p.29279
Big Bucs No Whammies,7,J.D. McKissic,RB,Was,RB,7.1,399.p.29650
Big Bucs No Whammies,7,Rob Gronkowski,TE,TB,TE,17.2,399.p.24017
Big Bucs No Whammies,7,Mike Evans,WR,TB,W/R/T,5.7,399.p.27535
Big Bucs No Whammies,7,Jerry Jeudy,WR,Den,W/R/T,4.0,399.p.32685
Big Bucs No Whammies,7,Rex Burkhead,RB,NE,BN,7.7,399.p.26813
Big Bucs No Whammies,7,Eric Ebron,TE,Pit,BN,11.0,399.p.27538
Big Bucs No Whammies,7,John Brown,WR,Buf,BN,0.0,399.p.27619
Big Bucs No Whammies,7,Adam Thielen,WR,Min,BN,0.0,399.p.27277
Big Bucs No Whammies,7,Nyheim Hines,RB,Ind,BN,0.0,399.p.31074
Big Bucs No Whammies,7,Julian Edelman,WR,NE,BN,2.3,399.p.9496
Big Bucs No Whammies,7,Cam Newton,QB,NE,BN,2.82,399.p.24788
Big Bucs No Whammies,7,Anthony Miller,WR,Chi,BN,5.0,399.p.31021
Big Bucs No Whammies,7,Ryan Succop,K,TB,K,9.0,399.p.9520
Big Bucs No Whammies,7,Los Angeles,DEF,LAC,DEF,6.0,399.p.100024
Birds Like I'm Julio,7,Patrick Mahomes,QB,KC,QB,13.0,399.p.30123
Birds Like I'm Julio,7,Amari Cooper,WR,Dal,WR,15.5,399.p.28392
Birds Like I'm Julio,7,A.J. Green,WR,Cin,WR,15.2,399.p.24791
Birds Like I'm Julio,7,Phillip Lindsay,RB,Den,RB,7.9,399.p.31379
Birds Like I'm Julio,7,David Johnson,RB,Hou,RB,16.4,399.p.28474
Birds Like I'm Julio,7,George Kittle,TE,SF,TE,10.5,399.p.30259
Birds Like I'm Julio,7,Brandon Aiyuk,WR,SF,W/R/T,17.5,399.p.32695
Birds Like I'm Julio,7,Chase Edmonds,RB,Ari,W/R/T,21.5,399.p.31104
Birds Like I'm Julio,7,Frank Gore,RB,NYJ,BN,6.0,399.p.7241
Birds Like I'm Julio,7,DeVante Parker,WR,Mia,BN,0.0,399.p.28402
Birds Like I'm Julio,7,Justin Jefferson,WR,Min,BN,0.0,399.p.32692
Birds Like I'm Julio,7,Mark Ingram II,RB,Bal,BN,0.0,399.p.24815
Birds Like I'm Julio,7,Latavius Murray,RB,NO,BN,6.6,399.p.26804
Birds Like I'm Julio,7,Jared Cook,TE,NO,BN,12.2,399.p.9353
Birds Like I'm Julio,7,Jimmy Garoppolo,QB,SF,BN,9.48,399.p.27590
Birds Like I'm Julio,7,Greg Ward,WR,Phi,BN,15.2,399.p.30715
Birds Like I'm Julio,7,Greg Zuerlein,K,Dal,K,4.0,399.p.25881
Birds Like I'm Julio,7,Pittsburgh,DEF,Pit,DEF,2.0,399.p.100023
DJeango,7,Matthew Stafford,QB,Det,QB,19.4,399.p.9265
DJeango,7,Robert Woods,WR,LAR,WR,5.5,399.p.26664
DJeango,7,Chris Godwin,WR,TB,WR,23.8,399.p.30197
DJeango,7,David Montgomery,RB,Chi,RB,11.9,399.p.31905
DJeango,7,Antonio Gibson,RB,Was,RB,18.8,399.p.32736
DJeango,7,Travis Kelce,TE,KC,TE,6.1,399.p.26686
DJeango,7,Keelan Cole,WR,Jax,W/R/T,2.2,399.p.30396
DJeango,7,DJ Moore,WR,Car,W/R/T,25.3,399.p.30994
DJeango,7,Jamison Crowder,WR,NYJ,BN,0.0,399.p.28493
DJeango,7,Raheem Mostert,RB,SF,BN,0.0,399.p.28654
DJeango,7,T.Y. Hilton,WR,Ind,BN,0.0,399.p.25802
DJeango,7,Sammy Watkins,WR,KC,BN,0.0,399.p.27532
DJeango,7,Christian McCaffrey,RB,Car,BN,0.0,399.p.30121
DJeango,7,Teddy Bridgewater,QB,Car,BN,21.16,399.p.27560
DJeango,7,Mike Gesicki,TE,Mia,BN,0.0,399.p.31012
DJeango,7,Trey Burton,TE,Ind,BN,0.0,399.p.27789
DJeango,7,Randy Bullock,K,Cin,K,10.0,399.p.25871
DJeango,7,Buffalo,DEF,Buf,DEF,14.0,399.p.100002
Eli Man Penguin Boy,7,Aaron Rodgers,QB,GB,QB,31.32,399.p.7200
Eli Man Penguin Boy,7,Tyreek Hill,WR,KC,WR,17.5,399.p.29399
Eli Man Penguin Boy,7,DJ Chark Jr.,WR,Jax,WR,3.6,399.p.31031
Eli Man Penguin Boy,7,Chris Carson,RB,Sea,RB,5.1,399.p.30362
Eli Man Penguin Boy,7,Mike Davis,RB,Car,RB,8.6,399.p.28514
Eli Man Penguin Boy,7,Jimmy Graham,TE,Chi,TE,8.1,399.p.24070
Eli Man Penguin Boy,7,D'Andre Swift,RB,Det,W/R/T,14.8,399.p.32705
Eli Man Penguin Boy,7,James White,RB,NE,W/R/T,1.3,399.p.27658
Eli Man Penguin Boy,7,Adrian Peterson,RB,Det,BN,4.0,399.p.8261
Eli Man Penguin Boy,7,Aaron Jones,RB,GB,BN,0.0,399.p.30295
Eli Man Penguin Boy,7,Michael Thomas,WR,NO,BN,0.0,399.p.29281
Eli Man Penguin Boy,7,Zach Ertz,TE,Phi,BN,0.0,399.p.26658
Eli Man Penguin Boy,7,Jarvis Landry,WR,Cle,BN,10.96,399.p.27591
Eli Man Penguin Boy,7,Emmanuel Sanders,WR,NO,BN,0.0,399.p.24057
Eli Man Penguin Boy,7,Drew Brees,QB,NO,BN,25.68,399.p.5479
Eli Man Penguin Boy,7,Le'Veon Bell,RB,KC,BN,3.9,399.p.26671
Eli Man Penguin Boy,7,Zane Gonzalez,K,Ari,K,16.0,399.p.30337
Eli Man Penguin Boy,7,Los Angeles,DEF,LAR,DEF,15.0,399.p.100014
Obi 'Quon Kenobi,7,Russell Wilson,QB,Sea,QB,35.92,399.p.25785
Obi 'Quon Kenobi,7,DeAndre Hopkins,WR,Ari,WR,24.3,399.p.26650
Obi 'Quon Kenobi,7,DK Metcalf,WR,Sea,WR,4.3,399.p.31896
Obi 'Quon Kenobi,7,Devin Singletary,RB,Buf,RB,6.7,399.p.31906
Obi 'Quon Kenobi,7,Giovani Bernard,RB,Cin,RB,20.6,399.p.26660
Obi 'Quon Kenobi,7,T.J. Hockenson,TE,Det,TE,16.9,399.p.31840
Obi 'Quon Kenobi,7,CeeDee Lamb,WR,Dal,W/R/T,0.1,399.p.32687
Obi 'Quon Kenobi,7,Travis Fulgham,WR,Phi,W/R/T,12.3,399.p.32016
Obi 'Quon Kenobi,7,Joe Mixon,RB,Cin,BN,0.0,399.p.30161
Obi 'Quon Kenobi,7,Mark Andrews,TE,Bal,BN,0.0,399.p.31056
Obi 'Quon Kenobi,7,Ryan Fitzpatrick,QB,Mia,BN,0.0,399.p.7426
Obi 'Quon Kenobi,7,Marvin Jones Jr.,WR,Det,BN,13.0,399.p.25876
Obi 'Quon Kenobi,7,Allen Lazard,WR,GB,BN,0.0,399.p.31268
Obi 'Quon Kenobi,7,J.K. Dobbins,RB,Bal,BN,0.0,399.p.32725
Obi 'Quon Kenobi,7,Wil Lutz,K,NO,K,11.0,399.p.29754
Obi 'Quon Kenobi,7,Dan Bailey,K,Min,BN,0.0,399.p.25427
Obi 'Quon Kenobi,7,San Francisco,DEF,SF,DEF,17.0,399.p.100025
Obi 'Quon Kenobi,7,Indianapolis,DEF,Ind,BN,0.0,399.p.100011
FreshPrinceOfHelaire,7,Ryan Tannehill,QB,Ten,QB,19.3,399.p.25718
FreshPrinceOfHelaire,7,Terry McLaurin,WR,Was,WR,22.0,399.p.31908
FreshPrinceOfHelaire,7,Keenan Allen,WR,LAC,WR,22.5,399.p.26699
